"","x"
"1","after maggi now dettol soap fails lab test called ‘substandard’"
"2","<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> okay okay i need to go kak dyla i still want my murtabak maggi"
"3","happy book birthday in the mouth of the wolf bywin a set of annotated copies now"
"4","so dope love the maggi boys <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62>"
"5","if nestle needs to be accountable for maggiarent marketing teams of media companies answerable to editorial teams for airing commercials"
"6","even aftr telling cocacola products are not good for health ppl tend to drink themwhen maggi is said like thatppl stopped using them"
"7","maggi crisis aroundworkers impacted in indiathe economic times"
"8","after maggi now dettol soap fails lab test called ‘substandard’"
"9","have directed food officers to inspect that stock of maggi are withdrawn from market karnataka health minister utkhader"
"10","we have directed food officers to inspect that stock of maggi are withdrawn from market karnataka health minister ut khader"
"11","maggi being used as fuel in cement factory"
"12","up others fail to find lead hong kong okays maggi"
"13","tired of broken promises"
"14","fake friends are a waste of time"
"15","extensive testing reveals no excess lead in your favorite maggi noodles to know more…"
"16","“my very own thoughts suffocate me"
"17","whenever i study late at night he comes up with a hot mug of coffee and maggi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33> he is so caring daddycool"
"18","maggi noodles funny trolls clip whatsapp videos"
"19","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"20","how much maggi do you eat every day to have caused such brain damage"
"21","maggi nestle freeze let us improve trps using manipurattack and let complex and vexed issue of onerankonepension s…"
"22","us fda testing nestles maggi noodles after india recall"
"23","i liked avideoi want that maggiparody of backstreet boys song i want it that way"
"24","bangalore beware of maggi falling from the sky this week d"
"25","the last maggi maggiafteralongtime breakingownrecordssundaylatebreakfast"
"26","word cloud of tweets about maggi nestle in the lasthours"
"27","dont like it muchp maggi chahiye"
"28","word cloud of tweets about maggi nestle in the lasthours"
"29","word cloud of tweets about maggi nestle in the lasthours"
"30","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"31","cannot wait for kids to be named all india buzzfeed <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>"
"32","word cloud of tweets about maggi nestle in the lasthours"
"33","maggi effect rs cr teeth for food regulator"
"34","lab testing reports show maggi samples found unsafe in national capital delhi govt tweets del govt spokesperson …"
"35","greatclassic maggi goreng pattaya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>"
"36","are we actually gunna hangout before it"
"37","you can get one at swimspot they have discounts now"
"38","how much maggi do you eat every day to have caused such brain damage"
"39","the maggi confusion persistsfood war it is essential that the issue does not fall victim to jingoism"
"40","i miss maggi like people miss their ex haan thodi kamini thi par humaara pyaar to sachcha tha"
"41","if i dont get up right now i know ill end up falling asleep in my swimsuit"
"42","the person behind maggi banfssai head mr ys malik"
"43","greatclassic maggi goreng pattaya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>"
"44","happy fathers day to all the dadsenjoy the fun time"
"45","nidokidos special report whats wrong with maggi noodles whats wrong with maggi noodles…"
"46","greatclassic maggi goreng pattaya <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66>"
"47","i have a joke on maggi but its leading ahead"
"48","nestle pulls maggi noodles off indian shelves as food scare spreadsreuters"
"49","stay lowkey amp let them assume"
"50","destroy what destroys you"
"51","happily carrying out the patriotic duty of destroying all stock of maggi in my house burp quite err satisfying"
"52","worldwithoutmusic is like me without maggi"
"53","im not against you guys im just reporting news in fact i love maggi hope the issue gets resolved soon"
"54","the maggi muddle on"
"55","been settled with a rsfine spiralled into nestles worst public relations crisis to date in india"
"56","nestle couldve avoided maggi mess with rsfine
a minor labelling dispute that according to a local magistrate could have"
"57","my mom already warn me to not eat maggi aaaa im okay <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63>"
"58","i liked avideofull fancamtarasugar free numberrolypolyhong kong y…"
"59","no more maggi goreng and extra joss susu on afternoon"
"60","word cloud of tweets about maggi nestle in the lasthours"
